# Character code table for jōyō kanji (2010)
# 常用漢字(2010年)と文字コードの対応表
# 
# Column 1: Kanji itself
# Column 2: Code point in JIS X 0213
# Column 3: Bit combination in GL (so-called 7-bit JIS code)
# Column 4: Bit combination in GR (EUC-JIS-2004)
# Column 5: Bit combination in SJIS (Shift_JIS-2004)
# Column 6: Code point in ISO/IEC 10646 UCS a.k.a. Unicode
#
# Distribution of this file is unlimited.
# This file is not authorized by any official organization.
# No warranty.
# 
# See also:
#   - Jōyō-kanji-hyō (常用漢字表)
#       http://www.bunka.go.jp/kokugo_nihongo/kokujikunrei_h221130.html
#   - JIS X 0213:2000/AMENDMENT 2:2012
#       7-bit and 8-bit double byte coded extended Kanji sets for 
#       information interchange (Amendment 2)
# 
# kanji, plane-row-cell, GL (7bit), GR (EUC), SJIS, UCS
繰,1-23-11,372B,B7AB,8C4A,U+7E70
君,1-23-15,372F,B7AF,8C4E,U+541B
訓,1-23-17,3731,B7B1,8C50,U+8A13
勲,1-23-14,372E,B7AE,8C4D,U+52F2
薫,1-23-16,3730,B7B0,8C4F,U+85AB
軍,1-23-19,3733,B7B3,8C52,U+8ECD
郡,1-23-20,3734,B7B4,8C53,U+90E1
群,1-23-18,3732,B7B2,8C51,U+7FA4
兄,1-23-27,373B,B7BB,8C5A,U+5144
刑,1-23-26,373A,B7BA,8C59,U+5211
形,1-23-33,3741,B7C1,8C60,U+5F62
系,1-23-47,374F,B7CF,8C6E,U+7CFB
径,1-23-34,3742,B7C2,8C61,U+5F84
茎,1-23-52,3754,B7D4,8C73,U+830E
係,1-23-24,3738,B7B8,8C57,U+4FC2
型,1-23-31,373F,B7BF,8C5E,U+578B
契,1-23-32,3740,B7C0,8C5F,U+5951
計,1-23-55,3757,B7D7,8C76,U+8A08
恵,1-23-35,3743,B7C3,8C62,U+6075
啓,1-23-28,373C,B7BC,8C5B,U+5553
掲,1-23-39,3747,B7C7,8C66,U+63B2
渓,1-23-44,374C,B7CC,8C6B,U+6E13
経,1-23-48,3750,B7D0,8C6F,U+7D4C
蛍,1-23-54,3756,B7D6,8C75,U+86CD
敬,1-23-41,3749,B7C9,8C68,U+656C
景,1-23-42,374A,B7CA,8C69,U+666F
軽,1-23-58,375A,B7DA,8C79,U+8EFD
傾,1-23-25,3739,B7B9,8C58,U+50BE
携,1-23-40,3748,B7C8,8C67,U+643A
継,1-23-49,3751,B7D1,8C70,U+7D99
詣,1-23-56,3758,B7D8,8C77,U+8A63
慶,1-23-36,3744,B7C4,8C63,U+6176
憬,1-56-61,585D,D8DD,9CDB,U+61AC
稽,1-23-46,374E,B7CE,8C6D,U+7A3D
憩,1-23-38,3746,B7C6,8C65,U+61A9
警,1-23-57,3759,B7D9,8C78,U+8B66
鶏,1-23-60,375C,B7DC,8C7B,U+9D8F
芸,1-23-61,375D,B7DD,8C7C,U+82B8
迎,1-23-62,375E,B7DE,8C7D,U+8FCE
鯨,1-23-63,375F,B7DF,8C7E,U+9BE8
隙,1-23-68,3764,B7E4,8C84,U+9699
劇,1-23-64,3760,B7E0,8C80,U+5287
撃,1-23-66,3762,B7E2,8C82,U+6483
激,1-23-67,3763,B7E3,8C83,U+6FC0
桁,1-23-69,3765,B7E5,8C85,U+6841
欠,1-23-71,3767,B7E7,8C87,U+6B20
穴,1-23-74,376A,B7EA,8C8A,U+7A74
血,1-23-76,376C,B7EC,8C8C,U+8840
決,1-23-72,3768,B7E8,8C88,U+6C7A
結,1-23-75,376B,B7EB,8C8B,U+7D50
傑,1-23-70,3766,B7E6,8C86,U+5091
潔,1-23-73,3769,B7E9,8C89,U+6F54
月,1-23-78,376E,B7EE,8C8E,U+6708
犬,1-24-04,3824,B8A4,8CA2,U+72AC
件,1-23-79,376F,B7EF,8C8F,U+4EF6
見,1-24-11,382B,B8AB,8CA9,U+898B
券,1-23-84,3774,B7F4,8C94,U+5238
肩,1-24-10,382A,B8AA,8CA8,U+80A9
建,1-23-90,377A,B7FA,8C9A,U+5EFA
研,1-24-06,3826,B8A6,8CA4,U+7814
県,1-24-09,3829,B8A9,8CA7,U+770C
倹,1-23-80,3770,B7F0,8C90,U+5039
兼,1-23-83,3773,B7F3,8C93,U+517C
剣,1-23-85,3775,B7F5,8C95,U+5263
拳,1-23-93,377D,B7FD,8C9D,U+62F3
軒,1-24-14,382E,B8AE,8CAC,U+8ED2
健,1-23-82,3772,B7F2,8C92,U+5065
険,1-24-17,3831,B8B1,8CAF,U+967A
圏,1-23-87,3777,B7F7,8C97,U+570F
堅,1-23-88,3778,B7F8,8C98,U+5805
検,1-24-01,3821,B8A1,8C9F,U+691C
嫌,1-23-89,3779,B7F9,8C99,U+5ACC
献,1-24-05,3825,B8A5,8CA3,U+732E
絹,1-24-08,3828,B8A8,8CA6,U+7D79
遣,1-24-15,382F,B8AF,8CAD,U+9063
権,1-24-02,3822,B8A2,8CA0,U+6A29
憲,1-23-91,377B,B7FB,8C9B,U+61B2
賢,1-24-13,382D,B8AD,8CAB,U+8CE2
謙,1-24-12,382C,B8AC,8CAA,U+8B19
鍵,1-24-16,3830,B8B0,8CAE,U+9375
繭,1-43-90,4B7A,CBFA,969A,U+7E6D
顕,1-24-18,3832,B8B2,8CB0,U+9855
験,1-24-19,3833,B8B3,8CB1,U+9A13
懸,1-23-92,377C,B7FC,8C9C,U+61F8
元,1-24-21,3835,B8B5,8CB3,U+5143
幻,1-24-24,3838,B8B8,8CB6,U+5E7B
玄,1-24-28,383C,B8BC,8CBA,U+7384
言,1-24-32,3840,B8C0,8CBE,U+8A00
弦,1-24-25,3839,B8B9,8CB7,U+5F26
限,1-24-34,3842,B8C2,8CC0,U+9650
原,1-24-22,3836,B8B6,8CB4,U+539F
現,1-24-29,383D,B8BD,8CBB,U+73FE
舷,1-24-31,383F,B8BF,8CBD,U+8237
減,1-24-26,383A,B8BA,8CB8,U+6E1B
源,1-24-27,383B,B8BB,8CB9,U+6E90
厳,1-24-23,3837,B8B7,8CB5,U+53B3
己,1-24-42,384A,B8CA,8CC8,U+5DF1
戸,1-24-45,384D,B8CD,8CCB,U+6238
古,1-24-37,3845,B8C5,8CC3,U+53E4
呼,1-24-38,3846,B8C6,8CC4,U+547C
固,1-24-39,3847,B8C7,8CC5,U+56FA
股,1-24-52,3854,B8D4,8CD2,U+80A1
虎,1-24-55,3857,B8D7,8CD5,U+864E
孤,1-24-41,3849,B8C9,8CC7,U+5B64
弧,1-24-44,384C,B8CC,8CCA,U+5F27
故,1-24-46,384E,B8CE,8CCC,U+6545
枯,1-24-47,384F,B8CF,8CCD,U+67AF
個,1-24-36,3844,B8C4,8CC2,U+500B
庫,1-24-43,384B,B8CB,8CC9,U+5EAB
湖,1-24-48,3850,B8D0,8CCE,U+6E56
雇,1-24-59,385B,B8DB,8CD9,U+96C7
誇,1-24-56,3858,B8D8,8CD6,U+8A87
鼓,1-24-61,385D,B8DD,8CDB,U+9F13
錮,1-78-94,6E7E,EEFE,E7FC,U+932E
顧,1-24-60,385C,B8DC,8CDA,U+9867
五,1-24-62,385E,B8DE,8CDC,U+4E94
互,1-24-63,385F,B8DF,8CDD,U+4E92
午,1-24-65,3861,B8E1,8CDF,U+5348
呉,1-24-66,3862,B8E2,8CE0,U+5449
後,1-24-69,3865,B8E5,8CE3,U+5F8C
娯,1-24-68,3864,B8E4,8CE2,U+5A2F
悟,1-24-71,3867,B8E7,8CE5,U+609F
碁,1-24-75,386B,B8EB,8CE9,U+7881
語,1-24-76,386C,B8EC,8CEA,U+8A9E
誤,1-24-77,386D,B8ED,8CEB,U+8AA4
護,1-24-78,386E,B8EE,8CEC,U+8B77
口,1-24-93,387D,B8FD,8CFB,U+53E3
工,1-25-09,3929,B9A9,8D48,U+5DE5
公,1-24-88,3878,B8F8,8CF6,U+516C
勾,1-24-91,387B,B8FB,8CF9,U+52FE
孔,1-25-06,3926,B9A6,8D45,U+5B54
功,1-24-89,3879,B8F9,8CF7,U+529F
巧,1-25-10,392A,B9AA,8D49,U+5DE7
広,1-25-13,392D,B9AD,8D4C,U+5E83
甲,1-25-35,3943,B9C3,8D62,U+7532
交,1-24-82,3872,B8F2,8CF0,U+4EA4
光,1-24-87,3877,B8F7,8CF5,U+5149
向,1-24-94,387E,B8FE,8CFC,U+5411
后,1-25-01,3921,B9A1,8D40,U+540E
好,1-25-05,3925,B9A5,8D44,U+597D
江,1-25-30,393E,B9BE,8D5D,U+6C5F
考,1-25-45,394D,B9CD,8D6C,U+8003
行,1-25-52,3954,B9D4,8D73,U+884C
坑,1-25-03,3923,B9A3,8D42,U+5751
孝,1-25-07,3927,B9A7,8D46,U+5B5D
抗,1-25-19,3933,B9B3,8D52,U+6297
攻,1-25-22,3936,B9B6,8D55,U+653B
更,1-25-25,3939,B9B9,8D58,U+66F4
効,1-24-90,387A,B8FA,8CF8,U+52B9
幸,1-25-12,392C,B9AC,8D4B,U+5E78
拘,1-25-20,3934,B9B4,8D53,U+62D8
肯,1-25-46,394E,B9CE,8D6D,U+80AF
侯,1-24-84,3874,B8F4,8CF2,U+4FAF
厚,1-24-92,387C,B8FC,8CFA,U+539A
恒,1-25-17,3931,B9B1,8D50,U+6052
洪,1-25-31,393F,B9BF,8D5E,U+6D2A
皇,1-25-36,3944,B9C4,8D63,U+7687
紅,1-25-40,3948,B9C8,8D67,U+7D05
荒,1-25-51,3953,B9D3,8D72,U+8352
郊,1-25-57,3959,B9D9,8D78,U+90CA
香,1-25-65,3961,B9E1,8D81,U+9999
候,1-24-85,3875,B8F5,8CF3,U+5019
校,1-25-27,393B,B9BB,8D5A,U+6821
耕,1-25-44,394C,B9CC,8D6B,U+8015
航,1-25-50,3952,B9D2,8D71,U+822A
貢,1-25-55,3957,B9D7,8D76,U+8CA2
降,1-25-63,395F,B9DF,8D7E,U+964D
高,1-25-66,3962,B9E2,8D82,U+9AD8
康,1-25-15,392F,B9AF,8D4E,U+5EB7
控,1-25-21,3935,B9B5,8D54,U+63A7
梗,1-25-28,393C,B9BC,8D5B,U+6897
黄,1-18-11,322B,B2AB,89A9,U+9EC4
喉,1-25-02,3922,B9A2,8D41,U+5589
慌,1-25-18,3932,B9B2,8D51,U+614C
港,1-25-33,3941,B9C1,8D60,U+6E2F
硬,1-25-37,3945,B9C5,8D64,U+786C
絞,1-25-42,394A,B9CA,8D69,U+7D5E
項,1-25-64,3960,B9E0,8D80,U+9805
溝,1-25-34,3942,B9C2,8D61,U+6E9D
鉱,1-25-59,395B,B9DB,8D7A,U+9271
構,1-25-29,393D,B9BD,8D5C,U+69CB
綱,1-25-43,394B,B9CB,8D6A,U+7DB1
酵,1-25-58,395A,B9DA,8D79,U+9175
稿,1-25-38,3946,B9C6,8D65,U+7A3F
興,1-22-29,363D,B6BD,8BBB,U+8208
衡,1-25-53,3955,B9D5,8D74,U+8861
鋼,1-25-61,395D,B9DD,8D7C,U+92FC
講,1-25-54,3956,B9D6,8D75,U+8B1B
購,1-25-56,3958,B9D8,8D77,U+8CFC
乞,1-24-80,3870,B8F0,8CEE,U+4E5E
号,1-25-70,3966,B9E6,8D86,U+53F7
合,1-25-71,3967,B9E7,8D87,U+5408
拷,1-25-73,3969,B9E9,8D89,U+62F7
剛,1-25-68,3964,B9E4,8D84,U+525B
傲,1-48-94,507E,D0FE,98FC,U+50B2
豪,1-25-75,396B,B9EB,8D8B,U+8C6A
克,1-25-78,396E,B9EE,8D8E,U+514B
告,1-25-80,3970,B9F0,8D90,U+544A
谷,1-35-11,432B,C3AB,924A,U+8C37
刻,1-25-79,396F,B9EF,8D8F,U+523B
国,1-25-81,3971,B9F1,8D91,U+56FD
黒,1-25-85,3975,B9F5,8D95,U+9ED2
穀,1-25-82,3972,B9F2,8D92,U+7A40
酷,1-25-83,3973,B9F3,8D93,U+9177
獄,1-25-86,3976,B9F6,8D96,U+7344
骨,1-25-92,397C,B9FC,8D9C,U+9AA8
駒,1-22-80,3670,B6F0,8BEE,U+99D2
込,1-25-94,397E,B9FE,8D9E,U+8FBC
頃,1-26-02,3A22,BAA2,8DA0,U+9803
今,1-26-03,3A23,BAA3,8DA1,U+4ECA
困,1-26-04,3A24,BAA4,8DA2,U+56F0
昆,1-26-11,3A2B,BAAB,8DA9,U+6606
恨,1-26-08,3A28,BAA8,8DA6,U+6068
根,1-26-12,3A2C,BAAC,8DAA,U+6839
婚,1-26-07,3A27,BAA7,8DA5,U+5A5A
混,1-26-14,3A2E,BAAE,8DAC,U+6DF7
痕,1-26-15,3A2F,BAAF,8DAD,U+75D5
紺,1-26-16,3A30,BAB0,8DAE,U+7D3A
魂,1-26-18,3A32,BAB2,8DB0,U+9B42
墾,1-26-06,3A26,BAA6,8DA4,U+58BE
懇,1-26-09,3A29,BAA9,8DA7,U+61C7
左,1-26-24,3A38,BAB8,8DB6,U+5DE6
佐,1-26-20,3A34,BAB4,8DB2,U+4F50
沙,1-26-27,3A3B,BABB,8DB9,U+6C99
査,1-26-26,3A3A,BABA,8DB8,U+67FB
砂,1-26-29,3A3D,BABD,8DBB,U+7802
唆,1-26-22,3A36,BAB6,8DB4,U+5506
差,1-26-25,3A39,BAB9,8DB7,U+5DEE
詐,1-26-30,3A3E,BABE,8DBC,U+8A50
鎖,1-26-31,3A3F,BABF,8DBD,U+9396
座,1-26-34,3A42,BAC2,8DC0,U+5EA7
挫,1-26-35,3A43,BAC3,8DC1,U+632B
才,1-26-45,3A4D,BACD,8DCB,U+624D
再,1-26-38,3A46,BAC6,8DC4,U+518D
災,1-26-50,3A52,BAD2,8DD0,U+707D
妻,1-26-42,3A4A,BACA,8DC8,U+59BB
采,1-26-51,3A53,BAD3,8DD1,U+91C7
砕,1-26-53,3A55,BAD5,8DD3,U+7815
宰,1-26-43,3A4B,BACB,8DC9,U+5BB0
栽,1-26-47,3A4F,BACF,8DCD,U+683D
彩,1-26-44,3A4C,BACC,8DCA,U+5F69
採,1-26-46,3A4E,BACE,8DCC,U+63A1
済,1-26-49,3A51,BAD1,8DCF,U+6E08
祭,1-26-55,3A57,BAD7,8DD5,U+796D
斎,1-26-56,3A58,BAD8,8DD6,U+658E
細,1-26-57,3A59,BAD9,8DD7,U+7D30
菜,1-26-58,3A5A,BADA,8DD8,U+83DC
最,1-26-39,3A47,BAC7,8DC5,U+6700
裁,1-26-59,3A5B,BADB,8DD9,U+88C1
債,1-26-36,3A44,BAC4,8DC2,U+50B5
催,1-26-37,3A45,BAC5,8DC3,U+50AC
塞,1-26-41,3A49,BAC9,8DC7,U+585E
歳,1-26-48,3A50,BAD0,8DCE,U+6B73
載,1-26-60,3A5C,BADC,8DDA,U+8F09
際,1-26-61,3A5D,BADD,8DDB,U+969B
埼,1-26-75,3A6B,BAEB,8DE9,U+57FC
在,1-26-63,3A5F,BADF,8DDD,U+5728
材,1-26-64,3A60,BAE0,8DDE,U+6750
剤,1-26-62,3A5E,BADE,8DDC,U+5264
財,1-26-66,3A62,BAE2,8DE0,U+8CA1
罪,1-26-65,3A61,BAE1,8DDF,U+7F6A
崎,1-26-74,3A6A,BAEA,8DE8,U+5D0E
作,1-26-78,3A6E,BAEE,8DEC,U+4F5C
削,1-26-79,3A6F,BAEF,8DED,U+524A
昨,1-26-82,3A72,BAF2,8DF0,U+6628
柵,1-26-84,3A74,BAF4,8DF2,U+67F5
索,1-26-87,3A77,BAF7,8DF5,U+7D22
策,1-26-86,3A76,BAF6,8DF4,U+7B56
酢,1-31-61,3F5D,BFDD,907C,U+9162
搾,1-26-81,3A71,BAF1,8DEF,U+643E
錯,1-26-88,3A78,BAF8,8DF6,U+932F
咲,1-26-73,3A69,BAE9,8DE7,U+54B2
冊,1-26-93,3A7D,BAFD,8DFB,U+518A
札,1-27-05,3B25,BBA5,8E44,U+672D
刷,1-26-94,3A7E,BAFE,8DFC,U+5237
刹,1-49-75,516B,D1EB,998B,U+5239
拶,1-27-02,3B22,BBA2,8E41,U+62F6
殺,1-27-06,3B26,BBA6,8E45,U+6BBA
察,1-27-01,3B21,BBA1,8E40,U+5BDF
撮,1-27-03,3B23,BBA3,8E42,U+64AE
擦,1-27-04,3B24,BBA4,8E43,U+64E6
雑,1-27-08,3B28,BBA8,8E47,U+96D1
皿,1-27-14,3B2E,BBAE,8E4D,U+76BF
三,1-27-16,3B30,BBB0,8E4F,U+4E09
山,1-27-19,3B33,BBB3,8E52,U+5C71
参,1-27-18,3B32,BBB2,8E51,U+53C2
桟,1-27-23,3B37,BBB7,8E56,U+685F
蚕,1-27-29,3B3D,BBBD,8E5C,U+8695
惨,1-27-20,3B34,BBB4,8E53,U+60E8
産,1-27-26,3B3A,BBBA,8E59,U+7523
傘,1-27-17,3B31,BBB1,8E50,U+5098
散,1-27-22,3B36,BBB6,8E55,U+6563
算,1-27-27,3B3B,BBBB,8E5A,U+7B97
酸,1-27-32,3B40,BBC0,8E5F,U+9178
賛,1-27-31,3B3F,BBBF,8E5E,U+8CDB
残,1-27-36,3B44,BBC4,8E63,U+6B8B
斬,1-27-34,3B42,BBC2,8E61,U+65AC
暫,1-27-35,3B43,BBC3,8E62,U+66AB
士,1-27-46,3B4E,BBCE,8E6D,U+58EB
子,1-27-50,3B52,BBD2,8E71,U+5B50
支,1-27-57,3B59,BBD9,8E78,U+652F
止,1-27-63,3B5F,BBDF,8E7E,U+6B62
氏,1-27-65,3B61,BBE1,8E81,U+6C0F
仕,1-27-37,3B45,BBC5,8E64,U+4ED5
史,1-27-43,3B4B,BBCB,8E6A,U+53F2
司,1-27-42,3B4A,BBCA,8E69,U+53F8
四,1-27-45,3B4D,BBCD,8E6C,U+56DB
市,1-27-52,3B54,BBD4,8E73,U+5E02
矢,1-44-80,4C70,CCF0,96EE,U+77E2
旨,1-27-61,3B5D,BBDD,8E7C,U+65E8
死,1-27-64,3B60,BBE0,8E80,U+6B7B
糸,1-27-69,3B65,BBE5,8E85,U+7CF8
至,1-27-74,3B6A,BBEA,8E8A,U+81F3
伺,1-27-39,3B47,BBC7,8E66,U+4F3A
志,1-27-54,3B56,BBD6,8E75,U+5FD7
私,1-27-68,3B64,BBE4,8E84,U+79C1
使,1-27-40,3B48,BBC8,8E67,U+4F7F
刺,1-27-41,3B49,BBC9,8E68,U+523A
始,1-27-47,3B4F,BBCF,8E6E,U+59CB
姉,1-27-48,3B50,BBD0,8E6F,U+59C9
枝,1-27-62,3B5E,BBDE,8E7D,U+679D
祉,1-27-67,3B63,BBE3,8E83,U+7949
肢,1-27-72,3B68,BBE8,8E88,U+80A2
姿,1-27-49,3B51,BBD1,8E70,U+59FF
思,1-27-55,3B57,BBD7,8E76,U+601D
指,1-27-56,3B58,BBD8,8E77,U+6307
施,1-27-60,3B5C,BBDC,8E7B,U+65BD
師,1-27-53,3B55,BBD5,8E74,U+5E2B
恣,1-55-83,5773,D7F3,9C93,U+6063
紙,1-27-70,3B66,BBE6,8E86,U+7D19
脂,1-27-73,3B69,BBE9,8E89,U+8102
視,1-27-75,3B6B,BBEB,8E8B,U+8996
紫,1-27-71,3B67,BBE7,8E87,U+7D2B
詞,1-27-76,3B6C,BBEC,8E8C,U+8A5E
歯,1-27-85,3B75,BBF5,8E95,U+6B6F
嗣,1-27-44,3B4C,BBCC,8E6B,U+55E3
試,1-27-78,3B6E,BBEE,8E8E,U+8A66
詩,1-27-77,3B6D,BBED,8E8D,U+8A69
資,1-27-81,3B71,BBF1,8E91,U+8CC7
飼,1-27-84,3B74,BBF4,8E94,U+98FC
誌,1-27-79,3B6F,BBEF,8E8F,U+8A8C
雌,1-27-83,3B73,BBF3,8E93,U+96CC
摯,1-57-85,5975,D9F5,9D95,U+646F
賜,1-27-82,3B72,BBF2,8E92,U+8CDC
諮,1-27-80,3B70,BBF0,8E90,U+8AEE
示,1-28-08,3C28,BCA8,8EA6,U+793A
字,1-27-90,3B7A,BBFA,8E9A,U+5B57
寺,1-27-91,3B7B,BBFB,8E9B,U+5BFA
次,1-28-01,3C21,BCA1,8E9F,U+6B21
耳,1-28-10,3C2A,BCAA,8EA8,U+8033
自,1-28-11,3C2B,BCAB,8EA9,U+81EA
似,1-27-87,3B77,BBF7,8E97,U+4F3C
児,1-27-89,3B79,BBF9,8E99,U+5150
事,1-27-86,3B76,BBF6,8E96,U+4E8B
侍,1-27-88,3B78,BBF8,8E98,U+4F8D
治,1-28-03,3C23,BCA3,8EA1,U+6CBB
持,1-27-93,3B7D,BBFD,8E9D,U+6301
時,1-27-94,3B7E,BBFE,8E9E,U+6642
滋,1-28-02,3C22,BCA2,8EA0,U+6ECB
慈,1-27-92,3B7C,BBFC,8E9C,U+6148
辞,1-28-13,3C2D,BCAD,8EAB,U+8F9E
磁,1-28-07,3C27,BCA7,8EA5,U+78C1
餌,1-17-34,3142,B1C2,8961,U+990C
璽,1-28-05,3C25,BCA5,8EA3,U+74BD
鹿,1-28-15,3C2F,BCAF,8EAD,U+9E7F
式,1-28-16,3C30,BCB0,8EAE,U+5F0F
識,1-28-17,3C31,BCB1,8EAF,U+8B58
軸,1-28-20,3C34,BCB4,8EB2,U+8EF8
七,1-28-23,3C37,BCB7,8EB5,U+4E03
𠮟,1-47-52,4F54,CFD4,9873,U+20B9F
失,1-28-26,3C3A,BCBA,8EB8,U+5931
室,1-28-28,3C3C,BCBC,8EBA,U+5BA4
疾,1-28-32,3C40,BCC0,8EBE,U+75BE
執,1-28-25,3C39,BCB9,8EB7,U+57F7
湿,1-28-30,3C3E,BCBE,8EBC,U+6E7F
嫉,1-28-27,3C3B,BCBB,8EB9,U+5AC9
漆,1-28-31,3C3F,BCBF,8EBD,U+6F06
質,1-28-33,3C41,BCC1,8EBF,U+8CEA
実,1-28-34,3C42,BCC2,8EC0,U+5B9F
芝,1-28-39,3C47,BCC7,8EC5,U+829D
写,1-28-44,3C4C,BCCC,8ECA,U+5199
社,1-28-50,3C52,BCD2,8ED0,U+793E
車,1-28-54,3C56,BCD6,8ED4,U+8ECA
舎,1-28-43,3C4B,BCCB,8EC9,U+820E
者,1-28-52,3C54,BCD4,8ED2,U+8005
射,1-28-45,3C4D,BCCD,8ECB,U+5C04
捨,1-28-46,3C4E,BCCE,8ECC,U+6368
赦,1-28-47,3C4F,BCCF,8ECD,U+8D66
斜,1-28-48,3C50,BCD0,8ECE,U+659C
煮,1-28-49,3C51,BCD1,8ECF,U+716E
遮,1-28-55,3C57,BCD7,8ED5,U+906E
謝,1-28-53,3C55,BCD5,8ED3,U+8B1D
邪,1-28-57,3C59,BCD9,8ED7,U+90AA
蛇,1-28-56,3C58,BCD8,8ED6,U+86C7
尺,1-28-60,3C5C,BCDC,8EDA,U+5C3A
借,1-28-58,3C5A,BCDA,8ED8,U+501F
酌,1-28-64,3C60,BCE0,8EDE,U+914C
釈,1-28-65,3C61,BCE1,8EDF,U+91C8
爵,1-28-63,3C5F,BCDF,8EDD,U+7235
若,1-28-67,3C63,BCE3,8EE1,U+82E5
弱,1-28-69,3C65,BCE5,8EE3,U+5F31
寂,1-28-68,3C64,BCE4,8EE2,U+5BC2
手,1-28-74,3C6A,BCEA,8EE8,U+624B
主,1-28-71,3C67,BCE7,8EE5,U+4E3B
守,1-28-73,3C69,BCE9,8EE7,U+5B88
朱,1-28-75,3C6B,BCEB,8EE9,U+6731
取,1-28-72,3C68,BCE8,8EE6,U+53D6
狩,1-28-77,3C6D,BCED,8EEB,U+72E9
首,1-28-83,3C73,BCF3,8EF1,U+9996
殊,1-28-76,3C6C,BCEC,8EEA,U+6B8A
珠,1-28-78,3C6E,BCEE,8EEC,U+73E0
酒,1-28-82,3C72,BCF2,8EF0,U+9152
腫,1-28-80,3C70,BCF0,8EEE,U+816B
種,1-28-79,3C6F,BCEF,8EED,U+7A2E
趣,1-28-81,3C71,BCF1,8EEF,U+8DA3
寿,1-28-87,3C77,BCF7,8EF5,U+5BFF
受,1-28-85,3C75,BCF5,8EF3,U+53D7
呪,1-28-86,3C76,BCF6,8EF4,U+546A
授,1-28-88,3C78,BCF8,8EF6,U+6388
需,1-28-91,3C7B,BCFB,8EF9,U+9700
儒,1-28-84,3C74,BCF4,8EF2,U+5112
樹,1-28-89,3C79,BCF9,8EF7,U+6A39
収,1-28-93,3C7D,BCFD,8EFB,U+53CE
囚,1-28-92,3C7C,BCFC,8EFA,U+56DA
州,1-29-03,3D23,BDA3,8F42,U+5DDE
舟,1-29-14,3D2E,BDAE,8F4D,U+821F
秀,1-29-08,3D28,BDA8,8F47,U+79C0
周,1-28-94,3C7E,BCFE,8EFC,U+5468
宗,1-29-01,3D21,BDA1,8F40,U+5B97
拾,1-29-06,3D26,BDA6,8F45,U+62FE
秋,1-29-09,3D29,BDA9,8F48,U+79CB
臭,1-29-13,3D2D,BDAD,8F4C,U+81ED
修,1-29-04,3D24,BDA4,8F43,U+4FEE
袖,1-34-21,4235,C2B5,91B3,U+8896
終,1-29-10,3D2A,BDAA,8F49,U+7D42
羞,1-70-23,6637,E6B7,E3B5,U+7F9E
習,1-29-12,3D2C,BDAC,8F4B,U+7FD2
週,1-29-21,3D35,BDB5,8F54,U+9031
就,1-29-02,3D22,BDA2,8F41,U+5C31
衆,1-29-16,3D30,BDB0,8F4F,U+8846
集,1-29-24,3D38,BDB8,8F57,U+96C6
愁,1-29-05,3D25,BDA5,8F44,U+6101
酬,1-29-23,3D37,BDB7,8F56,U+916C
醜,1-29-25,3D39,BDB9,8F58,U+919C
蹴,1-29-19,3D33,BDB3,8F52,U+8E74
襲,1-29-17,3D31,BDB1,8F50,U+8972
十,1-29-29,3D3D,BDBD,8F5C,U+5341
汁,1-29-33,3D41,BDC1,8F60,U+6C41
充,1-29-28,3D3C,BDBC,8F5B,U+5145
住,1-29-27,3D3B,BDBB,8F5A,U+4F4F
柔,1-29-32,3D40,BDC0,8F5F,U+67D4
重,1-29-37,3D45,BDC5,8F64,U+91CD
従,1-29-30,3D3E,BDBE,8F5D,U+5F93
渋,1-29-34,3D42,BDC2,8F61,U+6E0B
銃,1-29-38,3D46,BDC6,8F65,U+9283
獣,1-29-35,3D43,BDC3,8F62,U+7363
縦,1-29-36,3D44,BDC4,8F63,U+7E26
叔,1-29-39,3D47,BDC7,8F66,U+53D4
祝,1-29-43,3D4B,BDCB,8F6A,U+795D
宿,1-29-41,3D49,BDC9,8F68,U+5BBF
淑,1-29-42,3D4A,BDCA,8F69,U+6DD1
粛,1-29-45,3D4D,BDCD,8F6C,U+7C9B
縮,1-29-44,3D4C,BDCC,8F6B,U+7E2E
塾,1-29-46,3D4E,BDCE,8F6D,U+587E
熟,1-29-47,3D4F,BDCF,8F6E,U+719F
出,1-29-48,3D50,BDD0,8F6F,U+51FA
述,1-29-50,3D52,BDD2,8F71,U+8FF0
術,1-29-49,3D51,BDD1,8F70,U+8853
俊,1-29-51,3D53,BDD3,8F72,U+4FCA
春,1-29-53,3D55,BDD5,8F74,U+6625
瞬,1-29-54,3D56,BDD6,8F75,U+77AC
旬,1-29-60,3D5C,BDDC,8F7B,U+65EC
巡,1-29-68,3D64,BDE4,8F84,U+5DE1
盾,1-29-66,3D62,BDE2,8F82,U+76FE
准,1-29-58,3D5A,BDDA,8F79,U+51C6
殉,1-29-62,3D5E,BDDE,8F7D,U+6B89
純,1-29-67,3D63,BDE3,8F83,U+7D14
循,1-29-59,3D5B,BDDB,8F7A,U+5FAA
順,1-29-71,3D67,BDE7,8F87,U+9806
準,1-29-64,3D60,BDE0,8F80,U+6E96
潤,1-29-65,3D61,BDE1,8F81,U+6F64
遵,1-29-69,3D65,BDE5,8F85,U+9075
処,1-29-72,3D68,BDE8,8F88,U+51E6
初,1-29-73,3D69,BDE9,8F89,U+521D
所,1-29-74,3D6A,BDEA,8F8A,U+6240
書,1-29-81,3D71,BDF1,8F91,U+66F8
庶,1-29-78,3D6E,BDEE,8F8E,U+5EB6
暑,1-29-75,3D6B,BDEB,8F8B,U+6691
